id_obj,id_kot,id_kec,id_kel,index_risk,index_population,index_infenv,scvi,scvi_cat,population_density,vulnerable_employment_population,population_growth,population
1,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,-3.8152975350964944,-0.3038823745999602,2.171679993185177,-1.947499916511278,Low,33689.9659492,0.03272040302267003,-0.03245859521952562,42179
2,Jakarta Pusat,Cempaka Putih,Rawasari,-3.401292089539684,-1.262920328676401,0.4894732966057464,-4.1747391216103384,Low,20989.1749292,0.021506239216787706,-0.02527075812274368,25920
3,Jakarta Pusat,Menteng,Menteng,0.6985162918414468,-1.4996390239167718,2.5981042373814107,1.7969815053060856,High,12236.4330936,0.02559534007195477,-0.03556192399127235,29615
4,Jakarta Pusat,Menteng,Pegangsaan,-0.23379328457474338,1.4861736416793505,-1.073319275337549,0.17906108176705815,Medium,27936.0404217,0.06562922868741543,-0.03200256876806165,27132
5,Jakarta Pusat,Menteng,Cikini,-0.29576110144861745,-3.002964762999251,-0.705358927323255,-4.004084791771123,Low,12051.1052657,0.03303459774906211,-0.038685691318327976,9567
6,Jakarta Pusat,Menteng,Gondangdia,-1.1416477910789031,-0.4671070500836412,-1.3878003183658463,-2.9965551595283904,Low,3091.50125029,0.007760293166630739,-0.028938906752411574,4530
7,Jakarta Pusat,Menteng,Kebon Sirih,0.5161849821774713,-1.8167555806910565,-2.0050485276791896,-3.3056191261927745,Low,17248.136311,0.03510024005709466,-0.030045855862021763,14172
8,Jakarta Pusat,Tanah Abang,Gelora,-2.250465199517915,-4.136055405956895,0.7906249712938409,-5.595895634180968,Very Low,1048.97146328,0.020816653322658127,-0.058333333333333334,3503
9,Jakarta Pusat,Tanah Abang,Bendungan Hilir,-0.18769382832851117,-1.4939931381215297,-0.1531737588571077,-1.8348607253071485,Medium,15397.8027772,0.025188817272331843,-0.04273269502432899,24395
10,Jakarta Pusat,Tanah Abang,Karet Tengsin,-0.7007670235440496,-0.44623056004450445,-2.322204299443545,-3.469201883032099,Low,15048.7176911,0.04339649254783958,-0.03831994645247657,22988
11,Jakarta Pusat,Tanah Abang,Petamburan,0.15956000985173768,-0.13651389545061554,-0.40765071849944257,-0.3846046040983204,Medium,44452.5066843,0.03586026066167965,-0.047412744000389424,39138
12,Jakarta Pusat,Tanah Abang,Kebon Melati,0.11172764322197709,-1.7270993552763887,-0.16057160885549993,-1.7759433209099114,Medium,29660.9745893,0.018053354806868066,-0.053963368484787326,37499
13,Jakarta Pusat,Tanah Abang,Kebon Kacang,0.13295835232524944,0.16009335383725548,1.49697511457463,1.7900268207371348,High,34786.7815328,0.02057727380857981,-0.03377937962501438,25200
14,Jakarta Pusat,Tanah Abang,Kampung Bali,-0.15391671103314453,-2.137912847022989,1.6976633762429796,-0.5941661818131541,Medium,17151.8976979,0.0305175613444223,-0.06240120436582612,12456
15,Jakarta Pusat,Johar Baru,Johar Baru,-2.926937284499354,-0.2050878064963333,3.7260483571893337,0.5940232661936466,Medium,36285.6578318,0.041977545231341326,-0.058455531645850434,42442
16,Jakarta Pusat,Johar Baru,Kampung Rawa,-3.191001024849898,4.571073407100077,7.304654222241638,8.684726604491818,Very High,83468.4221465,0.048972165227827026,-0.04211442409565612,25315
17,Jakarta Pusat,Johar Baru,Galur,-3.5073807007585143,4.994840012436578,5.219841945736693,6.707301257414757,Very High,79677.2622994,0.0565763569888441,-0.035953935437069276,21263
18,Jakarta Pusat,Johar Baru,Tanah Tinggi,-2.65868278786936,5.8854837838727025,6.809097855712088,10.03589885171543,Very High,71976.7808164,0.06574504249291785,-0.03577214973991643,45230
19,Jakarta Utara,Penjaringan,Penjaringan,0.45122915190099433,2.5058008935416316,7.212167149967193,10.169197195409819,Very High,24741.2184709,0.05468996689010582,-0.020964670486856865,112592
